ID,Character Name,Refresh,Auto Next,Dialogue,BG,BGM,SFX,CGData,CGBehavior,Filter,FilterBehavior
0,null,TRUE,TRUE,null,null,null,null,null,null,null,null
1,OS,TRUE,FALSE,當我突然被某人的哭嚎驚醒，我才發現那個哀號的人是我自己。,null,null,null,null,null,null,null
2,OS,FALSE,FALSE,<br>我不知道甚麼時候跪到了地上，那些回憶壓得我只能大口喘氣。,null,null,null,null,null,null,null
3,OS,FALSE,FALSE,<br>我勉強自己抬起頭，看見涅正縮著身體，用驚恐的表情看著我。看著涅的表情、涅的姿態，那個瘦小的樣子…,null,null,null,null,null,null,null
4,OS,TRUE,FALSE,我不想讓涅變得跟我一樣……,null,null,null,null,null,null,null
5,OS,TRUE,FALSE,我使勁甩了甩頭。,null,null,null,null,null,null,null
6,拓,TRUE,FALSE,呼…呼……呼……呼……,null,null,null,null,null,null,null
7,null,TRUE,TRUE,null,null,BGM_Sad_1,null,null,null,null,null
8,OS,TRUE,FALSE,我拚了命忍著回憶帶給我的恐懼想做點甚麼。此時想起了某個身影，那個曾經救過我的身影。,null,null,null,null,null,null,null
9,OS,FALSE,FALSE,<br>雖然很難，但我試著深吸一口氣。我想起了身上的傷疤，或許這是現在的我唯一能做的事情了吧。於是我慢慢地站了起來。,null,null,null,null,null,null,null
10,OS,FALSE,FALSE,我開始把衣服一件一件地脫掉，直到我把全部的衣服都脫光。然後我慢慢走向涅。,null,null,null,null,null,null,null
11,涅,TRUE,FALSE,(△恐懼)你……不、不要……,null,null,null,null,null,null,null
12,拓,TRUE,FALSE,看著我。,null,null,null,null,null,null,null
13,null,TRUE,TRUE,null,null,null,null,null,null,null,null
14,涅,TRUE,FALSE,你、你要幹嘛……,null,null,null,null,null,null,null
15,null,TRUE,TRUE,null,null,null,null,null,null,null,null
16,拓,TRUE,FALSE,你好好看著我，仔細看著！,null,null,null,null,null,null,null
17,OS,TRUE,FALSE,我知道涅被我的吼聲嚇到，但我只能用這樣的音量才能克制自己的恐懼。,null,null,null,???,on,null,null
18,OS,FALSE,FALSE,<br>抱歉了，涅，我現在看起來一定像個想對你做甚麼壞事的瘋子或變態吧。,null,null,null,null,null,null,null
19,OS,FALSE,FALSE,<br>但是我…果然還是希望能讓你看看我這樣醜陋的身體。,null,null,null,null,null,null,null
20,涅,TRUE,FALSE,……！,null,null,null,null,null,null,null
21,OS,TRUE,FALSE,我看著自己那滿佈傷痕的身體，嘆了口氣。,null,null,null,null,null,null,null
22,拓,TRUE,FALSE,這些傷痕……都是我小時候，我的、我的家人在我身上留下的。他當時對我、對我做過那些……,null,null,null,null,null,null,null
23,OS,TRUE,FALSE,拓忍不住閉上眼睛渾身一顫。,null,null,null,null,null,null,null
24,拓,TRUE,FALSE,但是啊……,null,null,null,null,null,null,null
25,拓,FALSE,FALSE,唯獨這裡──,null,null,null,null,null,null,null
26,OS,TRUE,FALSE,我指向自己的兩腿之間，而涅的視線順著我的指引看向我的跨下。,null,null,null,null,null,null,null
27,涅,TRUE,FALSE,！！,null,null,null,null,null,null,null
28,拓,TRUE,FALSE,這道傷，是我自己造成的。,null,null,null,null,null,null,null
29,拓,FALSE,FALSE,當時我因為恨透了自己被他侵犯的身體，所以做了這種事……,null,null,null,null,off,null,null
30,OS,TRUE,FALSE,我這時再次試著走向涅，一步、一步地，非常緩慢。,null,null,null,null,null,null,null
31,拓,TRUE,FALSE,那時候……沒有人來救我…而對我做出這種骯髒事的人……,null,null,null,null,null,null,null
32,OS,TRUE,FALSE,我只能用盡全身的力氣控制自己才能勉強地向涅說著自己的過去，我想我現在的表情一定很難看吧…我注意到涅用一種，有點憐憫、有點悲傷的眼神看著我。,null,null,null,null,null,null,null
33,拓,TRUE,FALSE,……是我的親生…父親。,null,null,null,null,null,null,null
34,null,TRUE,FALSE,但是……那時也是……因為有……有人救了我，我才能活到現在……,null,null,null,null,null,null,null
35,null,TRUE,TRUE,null,null,null,null,???,on,null,null
36,OS,TRUE,FALSE,我試著很輕很輕地抱起了涅，而涅雖然不再排斥，但當他被抱起來的時候，我感受到懷裡的孩子還是害怕地發抖著。這讓我更想努力去保護他。,null,null,null,null,null,null,null
37,null,TRUE,TRUE,null,null,BGM_Mute,null,null,null,null,null
38,拓,TRUE,FALSE,沒事的……我在……,null,null,null,null,null,null,null
39,OS,TRUE,FALSE,我輕輕拍著涅的背。,null,null,null,null,null,null,null
40,null,TRUE,TRUE,null,null,BGM_Resolve_1,null,null,null,null,null
41,拓,TRUE,FALSE,當時……那個救了我的人曾經告訴我……,null,null,null,null,null,null,null
42,null,TRUE,FALSE,就算我再怎麼討厭自己、傷害自己，那些原本就傷害過我的人也不會明白我的價值所在……,null,null,null,null,null,null,null
43,null,TRUE,FALSE,除了我們自己……,null,null,null,null,null,null,null
44,OS,TRUE,FALSE,涅就這樣在我懷裡不停哭著，雖然不知道過了多久，但慢慢地，他的哭聲漸漸變小了。,null,null,null,null,null,null,null
45,OS,TRUE,FALSE,<br>我摸了摸他的頭。,null,null,null,null,null,null,null
46,拓,TRUE,FALSE,涅……還好嗎……？,null,null,null,null,off,null,null
47,涅,TRUE,FALSE,嗯……,null,null,null,null,null,null,null
