ID,Character Name,Refresh,Auto Next,Dialogue,BG,BGM,SFX,CGData,CGBehavior,Filter,FilterBehavior
0,null,TRUE,TRUE,null,null,null,跑步聲,null,null,null,null
1,null,TRUE,TRUE,null,null,null,SFX_Stage_DoorOpen,null,null,null,null
2,OS,TRUE,FALSE,我一回到家就將涅輕輕放到床上，用毯子將他包裹住。,null,null,SFX_Stage_Quilt_1,null,null,null,null
3,拓,TRUE,FALSE,你等我一下，我幫你拿新的衣服穿，等等我們就去警局報警，然後等做完筆錄我們就可以回家了，到時候我再煮好吃的給你，你別擔心……,null,null,null,null,null,null,null
4,null,TRUE,TRUE,null,null,null,null,null,null,null,null
5,OS,TRUE,FALSE,注意到涅沒有任何動靜，我轉過去想確認涅的情況。然而涅似乎是沒聽到我的聲音，沒有任何反應。,null,null,null,null,null,null,null
6,拓,TRUE,FALSE,……涅？,null,null,null,null,null,null,null
7,涅,TRUE,FALSE,…………,null,null,null,null,null,null,null
8,拓,TRUE,FALSE,涅…？,null,null,null,null,null,null,null
9,OS,TRUE,FALSE,涅的耳朵動了一下。終於對我的聲音有所反應，我連忙上前摟著他。,null,null,null,null,null,null,null
10,拓,TRUE,FALSE,涅……？,null,null,null,null,null,null,null
11,OS,TRUE,FALSE,但涅只是任憑我搖著他。此時我才發現，涅好像在試著說些甚麼，我趕忙湊上去想聽清楚。,null,null,null,null,null,null,null
12,涅,TRUE,FALSE,……拓……救我…拓…救…,null,null,null,null,null,null,null
13,拓,TRUE,TRUE,涅…？,null,null,null,null,null,null,null
14,拓,FALSE,TRUE,涅、涅！,null,null,null,null,null,null,null
15,拓,FALSE,FALSE,我在這裡啊？,null,null,null,null,null,null,null
16,null,TRUE,TRUE,null,null,null,null,null,null,null,null
17,OS,TRUE,FALSE,我搭著涅的肩膀搖了起來，這下連我都開始恐慌了。涅似乎是終於聽見我在跟他說話，他微微抬頭看向我。,null,null,null,null,null,null,null
18,null,TRUE,TRUE,null,null,null,null,null,null,null,null
19,涅,TRUE,TRUE,……,null,null,null,null,null,null,null
20,涅,FALSE,FALSE,拓？,null,null,null,null,null,null,null
21,拓,TRUE,FALSE,我在這裡，你說！,null,null,null,null,null,null,null
22,涅,TRUE,FALSE,……,null,null,null,null,null,null,null
23,涅,TRUE,FALSE,……,null,null,null,null,null,null,null
24,拓,TRUE,FALSE,可惡……,null,null,null,null,null,null,null
25,OS,TRUE,FALSE,我除了看著涅變成這副模樣，甚麼都辦不到……,null,null,null,null,null,null,null
26,涅,TRUE,FALSE,……,null,null,嘶啞聲,null,null,null,null
27,OS,TRUE,FALSE,涅突然慢慢低下頭，可能是看見自己身上的制服不見了吧，他終於願意開始說話。,null,null,null,null,null,null,null
28,涅,TRUE,FALSE,我……我的衣服……,null,null,null,null,null,null,null
29,涅,TRUE,FALSE,他們……要我脫…脫…,null,null,null,null,null,null,null
30,拓,TRUE,FALSE,沒、沒事的，他們已經不在這裡了。,null,null,null,null,null,null,null
31,涅,TRUE,FALSE,他…他們說……因為我爸爸……,null,null,null,null,null,null,null
32,涅,FALSE,FALSE,壞人…,null,null,null,null,null,null,null
33,涅,FALSE,FALSE,所以我…我也…ㄅ…,null,null,null,null,null,null,null
34,涅,FALSE,FALSE,被懲罰……,null,null,null,null,null,null,null
35,拓,TRUE,FALSE,沒有，沒事的，他們沒辦法傷害你的。,null,null,null,null,null,null,null
36,拓,FALSE,FALSE,我在這裡啊涅！,null,null,null,null,null,null,null
37,OS,TRUE,FALSE,但不管我怎麼呼喚涅，他只是自顧自地碎念，好像根本聽不進去我說的任何話。眼見涅變得如此，我實在是不知如何是好，開始懊悔起來。,null,null,null,null,null,null,null
38,拓,TRUE,FALSE,我在這裡啊！,null,null,null,null,null,null,null
39,OS,TRUE,FALSE,我急得抓住涅的肩膀激動地搖了起來，卻讓涅突然驚恐地跳起來。,null,null,null,null,null,null,null
40,涅,TRUE,FALSE,不要──！,null,null,null,null,null,null,null
41,OS,TRUE,FALSE,眼見涅突然對我恐懼起來，我只能趕緊鬆開瘦小的他，忍不住慌張地倒退了幾步。他那恐懼無助的樣子讓記憶瞬間湧進了我的腦海。,null,null,null,null,null,null,null
42,null,TRUE,TRUE,null,BG_Stage_Black,null,SFX_Stage_Heartbeats,null,null,null,null
43,拓,TRUE,FALSE,……,null,null,null,null,null,null,null
44,null,TRUE,TRUE,null,null,null,SFX_Stage_Heartbeats,ㄉㄌㄉㄌ,on,null,null
45,拓,TRUE,FALSE,不……,null,null,null,null,null,null,null
46,null,TRUE,TRUE,null,null,null,null,null,null,null,null
47,黑影,TRUE,FALSE,他媽的你這沒反應的小孽種，給我叫！,null,null,null,null,null,null,null
48,拓,TRUE,FALSE,不要……,null,null,null,null,null,null,null
49,null,TRUE,FALSE,null,null,null,null,全圖,on,null,null
50,黑影,TRUE,FALSE,你不要是吧？很羞恥是吧？老子就讓你知道甚麼才叫做羞恥！,null,null,null,null,null,null,null
51,拓,TRUE,FALSE,不、不要……,null,null,null,null,null,null,null
52,null,TRUE,FALSE,別…別過來──！,null,null,null,null,null,null,null
53,null,TRUE,TRUE,null,null,null,SFX_Stage_Tinnitus,null,off,白幕,null
54,null,TRUE,TRUE,null,null,null,null,null,null,null,null
